Time;air_temperature;dewpoint;wind_direction_corr;wind_speed;relative_pressure;PM10;PM2.5
02/19/2017 10:30;-9999;-9999;-9999;-9999;-9999;77.96;46.47
02/19/2017 11:00;-9999;-9999;-9999;-9999;-9999;15.22;14.62
02/19/2017 11:30;-9999;-9999;-9999;-9999;-9999;8.68;8.35
02/19/2017 12:00;-9999;-9999;-9999;-9999;-9999;6.92;6.7
02/19/2017 12:30;-9999;-9999;-9999;-9999;-9999;5.89;5.72
02/19/2017 13:00;-9999;-9999;-9999;-9999;-9999;6.86;6.43
02/19/2017 13:30;-9999;-9999;-9999;-9999;-9999;9.49;9.11
02/19/2017 14:00;-9999;-9999;-9999;-9999;-9999;5.78;5.51
02/19/2017 14:30;-9999;-9999;-9999;-9999;-9999;4.85;4.62
02/19/2017 15:00;-9999;-9999;-9999;-9999;-9999;4.31;4.08
02/19/2017 15:30;-9999;-9999;-9999;-9999;-9999;4.46;4.13
02/19/2017 16:00;-9999;-9999;-9999;-9999;-9999;5.32;4.95
02/19/2017 16:30;-9999;-9999;-9999;-9999;-9999;4.59;4.31
02/19/2017 17:00;-9999;-9999;-9999;-9999;-9999;3.97;3.74
02/19/2017 17:30;-9999;-9999;-9999;-9999;-9999;4.05;3.87
02/19/2017 18:00;-9999;-9999;-9999;-9999;-9999;3.99;3.8
02/19/2017 18:30;-9999;-9999;-9999;-9999;-9999;4.29;4.03
02/19/2017 19:00;-9999;-9999;-9999;-9999;-9999;4.96;4.7
02/19/2017 19:30;-9999;-9999;-9999;-9999;-9999;4.46;4.25
02/19/2017 20:00;-9999;-9999;-9999;-9999;-9999;4.01;3.79
02/19/2017 20:30;-9999;-9999;-9999;-9999;-9999;4.01;3.84
02/19/2017 21:00;-9999;-9999;-9999;-9999;-9999;4.21;4.07
02/19/2017 21:30;-9999;-9999;-9999;-9999;-9999;4.25;4.07
02/19/2017 22:00;-9999;-9999;-9999;-9999;-9999;4.2;4.02
02/19/2017 22:30;-9999;-9999;-9999;-9999;-9999;4.16;4.05
02/19/2017 23:00;-9999;-9999;-9999;-9999;-9999;4.36;4.2
02/19/2017 23:30;-9999;-9999;-9999;-9999;-9999;4.33;4.22
02/20/2017 00:00;-9999;-9999;-9999;-9999;-9999;4.57;4.45
02/20/2017 00:30;-9999;-9999;-9999;-9999;-9999;4.27;4.17
02/20/2017 01:00;-9999;-9999;-9999;-9999;-9999;4.71;4.63
02/20/2017 01:30;-9999;-9999;-9999;-9999;-9999;4.86;4.7
02/20/2017 02:00;-9999;-9999;-9999;-9999;-9999;4.57;4.45
02/20/2017 02:30;-9999;-9999;-9999;-9999;-9999;4.09;3.99
02/20/2017 03:00;-9999;-9999;-9999;-9999;-9999;4.13;4.03
02/20/2017 03:30;-9999;-9999;-9999;-9999;-9999;4.32;4.07
02/20/2017 04:00;-9999;-9999;-9999;-9999;-9999;4.33;4.17
02/20/2017 04:30;-9999;-9999;-9999;-9999;-9999;4.75;4.48
02/20/2017 05:00;-9999;-9999;-9999;-9999;-9999;5.3;4.95
02/20/2017 05:30;-9999;-9999;-9999;-9999;-9999;6.05;5.83
02/20/2017 06:00;-9999;-9999;-9999;-9999;-9999;6.06;5.81
02/20/2017 06:30;-9999;-9999;-9999;-9999;-9999;5.72;5.41
02/20/2017 07:00;-9999;-9999;-9999;-9999;-9999;11.86;7.85
02/20/2017 07:30;-9999;-9999;-9999;-9999;-9999;16.15;13.66
02/20/2017 14:30;-9999;-9999;-9999;-9999;-9999;22.28;21.47
02/20/2017 15:00;-9999;-9999;-9999;-9999;-9999;20.6;19.58
02/20/2017 15:30;-9999;-9999;-9999;-9999;-9999;18.08;16.96
02/20/2017 16:00;-9999;-9999;-9999;-9999;-9999;17.61;16.76
02/20/2017 16:30;-9999;-9999;-9999;-9999;-9999;15.31;14.67
02/20/2017 17:00;-9999;-9999;-9999;-9999;-9999;14.83;13.88
02/20/2017 17:30;-9999;-9999;-9999;-9999;-9999;16.76;15.76
02/20/2017 18:00;-9999;-9999;-9999;-9999;-9999;20.15;18.96
02/20/2017 18:30;-9999;-9999;-9999;-9999;-9999;16.81;16.02
02/20/2017 19:00;-9999;-9999;-9999;-9999;-9999;14.41;13.79
02/20/2017 19:30;-9999;-9999;-9999;-9999;-9999;14.68;14.1
02/20/2017 20:00;-9999;-9999;-9999;-9999;-9999;13.16;12.75
02/20/2017 20:30;-9999;-9999;-9999;-9999;-9999;13.14;12.63
02/20/2017 21:00;-9999;-9999;-9999;-9999;-9999;13.69;13.31
02/20/2017 21:30;-9999;-9999;-9999;-9999;-9999;14.22;13.88
02/20/2017 22:00;-9999;-9999;-9999;-9999;-9999;13.22;12.91
02/20/2017 22:30;-9999;-9999;-9999;-9999;-9999;13.32;13.06
02/20/2017 23:00;-9999;-9999;-9999;-9999;-9999;13;12.71
02/20/2017 23:30;-9999;-9999;-9999;-9999;-9999;11.88;11.66
02/21/2017 00:00;-9999;-9999;-9999;-9999;-9999;11.04;10.93
02/21/2017 00:30;-9999;-9999;-9999;-9999;-9999;11.4;11.27
02/21/2017 01:00;-9999;-9999;-9999;-9999;-9999;12.37;12.22
02/21/2017 01:30;-9999;-9999;-9999;-9999;-9999;13.7;13.52
02/21/2017 02:00;-9999;-9999;-9999;-9999;-9999;12.28;12.09
02/21/2017 02:30;-9999;-9999;-9999;-9999;-9999;12.59;12.42
02/21/2017 03:00;-9999;-9999;-9999;-9999;-9999;12.71;12.53
02/21/2017 03:30;-9999;-9999;-9999;-9999;-9999;13;12.69
02/21/2017 04:00;-9999;-9999;-9999;-9999;-9999;13.16;12.73
02/21/2017 04:30;-9999;-9999;-9999;-9999;-9999;14.18;13.68
02/21/2017 05:00;-9999;-9999;-9999;-9999;-9999;15.43;14.5
02/21/2017 05:30;-9999;-9999;-9999;-9999;-9999;15.49;14.85
02/21/2017 06:00;-9999;-9999;-9999;-9999;-9999;16.45;15.81
02/21/2017 06:30;-9999;-9999;-9999;-9999;-9999;16.95;16.01
02/21/2017 07:00;-9999;-9999;-9999;-9999;-9999;22.06;20.19
02/21/2017 07:30;-9999;-9999;-9999;-9999;-9999;29.21;26.35
02/21/2017 08:00;-9999;-9999;-9999;-9999;-9999;28.26;26.97
02/21/2017 08:30;-9999;-9999;-9999;-9999;-9999;30.48;28.53
02/21/2017 09:00;-9999;-9999;-9999;-9999;-9999;32.43;30.98
02/21/2017 09:30;-9999;-9999;-9999;-9999;-9999;26.36;25.46
02/21/2017 10:00;-9999;-9999;-9999;-9999;-9999;25.14;24.09
02/21/2017 10:30;-9999;-9999;-9999;-9999;-9999;27.58;26.66
02/21/2017 11:00;-9999;-9999;-9999;-9999;-9999;29.88;28.4
02/21/2017 11:30;-9999;-9999;-9999;-9999;-9999;28.34;27.34
02/21/2017 12:00;-9999;-9999;-9999;-9999;-9999;33.29;32.45
02/21/2017 12:30;-9999;-9999;-9999;-9999;-9999;27.64;27
02/21/2017 13:00;-9999;-9999;-9999;-9999;-9999;26.84;26.19
02/21/2017 13:30;-9999;-9999;-9999;-9999;-9999;32.36;30.77
02/21/2017 14:00;-9999;-9999;-9999;-9999;-9999;32.73;31.28
02/21/2017 14:30;-9999;-9999;-9999;-9999;-9999;31.35;30.24
02/21/2017 15:00;-9999;-9999;-9999;-9999;-9999;31.5;30.94
02/21/2017 15:30;-9999;-9999;-9999;-9999;-9999;29.23;28.56
02/21/2017 16:00;-9999;-9999;-9999;-9999;-9999;34.06;33.43
02/21/2017 16:30;-9999;-9999;-9999;-9999;-9999;31.41;30.92
02/21/2017 17:00;-9999;-9999;-9999;-9999;-9999;30.3;29.93
02/21/2017 17:30;-9999;-9999;-9999;-9999;-9999;30.45;29.83
02/21/2017 18:00;-9999;-9999;-9999;-9999;-9999;27.11;26.88
