Time;air_temperature;dewpoint;wind_direction_corr;wind_speed;relative_pressure;PM10;PM2.5
02/20/2017 16:00;-3.09;-11.38;159.43;0.63;865.16;117.46;70.98
02/20/2017 16:30;-3.55;-11.83;153.12;0.66;865.37;103.74;62.23
02/20/2017 17:00;-3.91;-11.82;146.41;0.76;865.58;98.36;61.13
02/20/2017 17:30;-4.29;-11.83;146.6;0.57;865.61;110.39;68.6
02/20/2017 18:00;-4.68;-11.79;155.82;0.52;865.53;116.16;73.85
02/20/2017 18:30;-5.06;-12.3;159.55;0.32;865.39;96.9;62.03
02/20/2017 19:00;-5.37;-12.69;141.46;0.32;865.13;83.26;50.51
02/20/2017 19:30;-5.74;-13.07;149.29;0.35;865.08;76.58;47.75
02/20/2017 20:00;-6.2;-13.21;127.12;0.37;864.99;68.72;43.37
02/20/2017 20:30;-6.58;-13.49;121.11;0.47;864.87;65.53;44.16
02/20/2017 21:00;-6.66;-13.21;154.71;0.25;864.61;76.41;48.38
02/20/2017 21:30;-6.71;-13.27;147.78;0.22;864.27;73.98;48.77
02/20/2017 22:00;-6.81;-13.51;134.82;0.28;864.09;72.06;46.97
02/20/2017 22:30;-7.06;-13.88;138.83;0.27;863.94;61.44;43.75
02/20/2017 23:00;-7.34;-14.2;147.55;0.44;863.77;52.51;41.77
02/20/2017 23:30;-7.59;-14.33;145.31;0.3;863.65;48.63;38.45
02/21/2017 00:00;-7.61;-14.21;142.26;0.38;863.47;44.33;36.14
02/21/2017 00:30;-7.69;-14.32;134.79;0.11;863.26;48.23;36.41
02/21/2017 01:00;-7.69;-14.26;136.51;0.28;863.05;48.44;39.89
02/21/2017 01:30;-7.66;-14.15;146.05;0.28;862.81;52.67;43.56
02/21/2017 02:00;-7.66;-14.29;141.41;0.29;862.73;49.87;41.47
02/21/2017 02:30;-7.89;-14.58;133.14;0.22;862.6;49.16;39.45
02/21/2017 03:00;-7.88;-14.69;144.03;0.39;862.55;49.32;40.14
02/21/2017 03:30;-7.95;-14.78;148.3;0.23;862.41;60.9;40.23
02/21/2017 04:00;-8.19;-15.25;145.97;0.21;862.38;69.87;38.92
02/21/2017 04:30;-8.35;-15.03;142.01;0.28;862.55;63.42;41.84
02/21/2017 05:00;-8.34;-15.05;146.54;0.38;862.6;74.38;44.25
02/21/2017 05:30;-7.59;-14.71;140.71;0.33;862.84;79.82;47.11
02/21/2017 06:00;-7.22;-14.96;143.45;0.56;862.9;83.53;50.56
02/21/2017 06:30;-6.54;-14.47;148.51;0.33;862.83;102.53;60.19
02/21/2017 07:00;-5.78;-13.84;143.39;0.45;862.66;94.28;60.74
02/21/2017 07:30;-4.74;-12.49;115.36;0.21;862.65;114.31;68.91
02/21/2017 08:00;-4.43;-11.86;108.01;0.36;862.69;121.78;72.84
02/21/2017 08:30;-3.28;-10.69;108.35;0.53;862.56;125.24;79.05
02/21/2017 09:00;-2.29;-10.2;84.28;0.14;862.39;146.86;80.38
02/21/2017 09:30;-2.04;-9.95;311.01;0.37;862.14;193.31;88.73
02/21/2017 10:00;-2.22;-9.84;300.19;0.54;861.76;172.43;87.94
02/21/2017 10:30;-1.39;-9.38;305.45;0.5;861.33;199.59;93.44
02/21/2017 11:00;-1.34;-9.04;291.73;0.58;860.84;179.9;93.43
02/21/2017 11:30;-0.39;-8.6;322.74;0.32;860.4;183.45;96.68
02/21/2017 12:00;-0.14;-8.65;303.67;0.35;860.15;192.91;98.69
02/21/2017 12:30;0.11;-8.51;315.94;0.2;859.9;188.86;98.36
02/21/2017 13:00;-0.13;-8.1;294.22;0.34;859.72;166.17;91.8
02/21/2017 13:30;-0.65;-7.88;301.34;0.65;859.53;175.39;94.01
02/21/2017 14:00;-0.96;-7.73;311.17;0.56;859.43;158.65;92.01
02/21/2017 14:30;-1.29;-7.58;311.14;0.48;859.39;154.39;91.9
02/21/2017 15:00;-1.42;-7.45;305.25;0.43;859.4;149.47;90.85
02/21/2017 15:30;-1.65;-7.33;300.2;0.42;859.49;137.32;92.24
02/21/2017 16:00;-1.92;-7.32;315.19;0.33;859.69;126.95;92.18
02/21/2017 16:30;-2.16;-7.32;320.05;0.22;859.81;124.16;93.09
02/21/2017 17:00;-2.35;-7.41;301.3;0.2;859.97;119.02;91.42
02/21/2017 17:30;-3.37;-8.25;108.41;0.84;860.02;111.08;89.87
02/21/2017 18:00;-4.14;-8.98;109.41;0.92;859.86;106.73;85.25
02/21/2017 18:30;-4.09;-8.97;111.11;0.57;859.87;115.35;85.87
02/21/2017 19:00;-3.89;-9.39;125.7;0.31;859.9;134.78;96.66
02/21/2017 20:00;-4.87;-10.62;147.32;0.31;860;144.39;99.53
02/21/2017 20:30;-5.47;-11.36;146;0.56;859.91;116.39;89.12
02/21/2017 21:00;-5.87;-11.73;144.37;0.53;859.87;101.13;76.93
02/21/2017 21:30;-5.86;-11.64;153.44;0.41;859.78;105.15;81.15
02/21/2017 22:00;-6.12;-11.97;135.26;0.21;859.82;99.27;74.36
02/21/2017 22:30;-6.45;-12.43;150.55;0.39;859.87;100.72;75.4
02/21/2017 23:00;-6.54;-12.6;153.04;0.41;859.76;91.8;72.5
02/21/2017 23:30;-6.58;-12.73;152.46;0.42;859.63;89.44;71.86
02/22/2017 00:00;-6.76;-12.84;143.37;0.46;859.67;83.5;67.28
02/22/2017 00:30;-7.12;-13.16;156.8;0.51;859.44;82.61;67.34
02/22/2017 01:00;-6.98;-13.1;150.43;0.26;859.25;84.63;68.12
02/22/2017 01:30;-6.88;-13.25;144.87;0.35;859.26;77.57;65.03
02/22/2017 02:00;-6.8;-13.58;148.6;0.17;859.44;70.78;58.2
