Time;air_temperature;dewpoint;wind_direction_corr;wind_speed;relative_pressure;PM10;PM2.5
02/21/2017 16:00;-9999;-9999;-9999;-9999;-9999;-9999;-9999
02/21/2017 16:30;-2.21;-7.48;348.55;0.34;861.3;38.29;36.22
02/21/2017 17:00;-2.19;-7.38;4.2;0.44;861.45;38.97;37.52
02/21/2017 17:30;-2.44;-7.74;356.88;0.35;861.48;-9999;-9999
02/21/2017 18:00;-2.53;-7.78;24.99;0.13;861.31;-9999;-9999
02/21/2017 18:30;-2.85;-8.04;201.69;0.19;861.34;-9999;-9999
02/21/2017 19:00;-3.57;-9.54;47.86;0.57;861.42;-9999;-9999
02/21/2017 19:30;-4.15;-10.16;82.22;0.35;861.33;-9999;-9999
02/21/2017 20:00;-4.44;-10.44;149.11;0.52;861.52;-9999;-9999
02/21/2017 20:30;-4.89;-10.97;145.87;0.45;861.44;-9999;-9999
02/21/2017 21:00;-5.6;-11.78;149.45;0.41;861.44;-9999;-9999
02/21/2017 21:30;-5.81;-11.79;79.5;0.48;861.33;-9999;-9999
02/21/2017 22:00;-5.93;-11.8;119.38;0.4;861.38;-9999;-9999
02/21/2017 22:30;-6.13;-12.19;153.02;0.75;861.42;-9999;-9999
02/21/2017 23:00;-6.23;-12.28;130.57;0.43;861.33;-9999;-9999
02/21/2017 23:30;-6.34;-12.28;127.55;0.32;861.2;-9999;-9999
02/22/2017 00:00;-6.43;-12.29;124.37;0.39;861.22;-9999;-9999
02/22/2017 00:30;-6.9;-12.43;71.45;0.63;861.01;-9999;-9999
02/22/2017 01:00;-6.85;-12.18;121.67;0.28;860.85;-9999;-9999
02/22/2017 01:30;-6.88;-12.11;53.44;0.33;860.84;-9999;-9999
02/22/2017 02:00;-6.91;-12.21;101.4;0.21;861.02;-9999;-9999
02/22/2017 02:30;-6.96;-12.38;41.64;0.32;861.26;-9999;-9999
02/22/2017 03:00;-6.76;-12.61;68.16;0.24;861.21;-9999;-9999
02/22/2017 03:30;-6.58;-12.63;138.3;0.45;861.21;-9999;-9999
02/22/2017 04:00;-6.33;-12.12;131.8;0.26;861.21;-9999;-9999
02/22/2017 04:30;-6;-11.4;98.05;0.28;861.44;-9999;-9999
02/22/2017 05:00;-6.09;-10.9;49.33;0.37;861.65;-9999;-9999
02/22/2017 05:30;-6.63;-11.34;134.37;0.64;862.01;-9999;-9999
02/22/2017 06:00;-7.35;-12.06;67.1;0.53;862.54;-9999;-9999
02/22/2017 06:30;-6.87;-12.17;93.74;0.55;862.86;-9999;-9999
02/22/2017 07:00;-5.89;-11.75;55.53;0.49;862.88;-9999;-9999
02/22/2017 07:30;-4.03;-10.58;92.42;0.25;862.67;-9999;-9999
02/22/2017 08:00;-3.02;-9.98;22.9;0.35;862.68;-9999;-9999
02/22/2017 08:30;-1.91;-9.47;1.15;0.63;862.47;-9999;-9999
02/22/2017 09:00;-1.64;-9.08;359.85;0.57;862.56;-9999;-9999
02/22/2017 09:30;-1.25;-8.49;10.04;0.72;862.41;-9999;-9999
02/22/2017 10:00;-0.9;-8;2.79;0.69;862.24;-9999;-9999
02/22/2017 10:30;-0.63;-7.76;1.7;0.61;862.01;-9999;-9999
02/22/2017 11:00;0.01;-7.82;5.07;0.51;861.81;-9999;-9999
02/22/2017 11:30;0.41;-7.67;357.09;0.3;861.49;-9999;-9999
02/22/2017 12:00;0.69;-7.42;353.84;0.61;861.26;-9999;-9999
02/22/2017 12:30;0.91;-7.09;8.18;0.33;861.11;-9999;-9999
02/22/2017 13:00;1.3;-6.91;310.43;0.16;861.05;-9999;-9999
02/22/2017 13:30;1.14;-6.94;0.96;0.59;860.98;-9999;-9999
02/22/2017 14:00;0.91;-7.08;17.69;0.41;861;-9999;-9999
02/22/2017 14:30;0.92;-6.92;356.31;0.44;861.09;-9999;-9999
02/22/2017 15:00;0.51;-6.79;359.26;0.52;861.16;-9999;-9999
02/22/2017 15:30;0.16;-6.71;357.87;0.44;861.31;-9999;-9999
02/22/2017 16:00;-0.32;-6.88;13.48;0.73;861.42;52.8;47.47
02/22/2017 16:30;-0.61;-7.04;6.03;0.42;861.66;22.35;21.61
02/22/2017 17:00;-0.71;-7.03;351.86;0.29;861.78;31.9;30.74
02/22/2017 17:30;-0.78;-6.81;328.59;0.15;861.71;22.37;21.85
02/22/2017 18:00;-1.7;-8.01;40.32;0.6;861.65;23.88;22.63
02/22/2017 18:30;-2.05;-8.13;37.84;0.6;861.84;33.64;32.73
02/22/2017 19:00;-2.24;-8.24;36.71;0.57;862.04;24.45;23.88
02/22/2017 19:30;-2.55;-8.59;71.14;0.33;862.02;23.01;22
02/22/2017 20:00;-2.66;-8.7;138.17;0.45;861.96;31.87;30.08
02/22/2017 20:30;-3.39;-9.21;74.28;0.73;861.92;27.55;26.82
02/22/2017 21:00;-3.41;-9.19;82.72;0.57;861.88;23.37;21.76
02/22/2017 21:30;-3.64;-8.98;85.03;0.5;861.97;19.84;19.47
02/22/2017 22:00;-3.87;-8.74;77.19;0.31;861.99;28.31;27.6
02/22/2017 22:30;-4.02;-8.8;101.91;0.56;861.85;19.67;19.29
02/22/2017 23:00;-4.27;-9.18;91.3;0.65;861.61;19.02;18.78
02/22/2017 23:30;-4.26;-9.38;107.24;0.51;861.46;18.94;18.66
02/23/2017 00:00;-4.45;-9.65;136.72;0.56;861.12;25.55;25.34
02/23/2017 00:30;-4.46;-9.74;153.04;0.71;860.91;17.48;17.13
02/23/2017 01:00;-4.9;-10.32;152.4;0.68;860.91;16.76;16.55
02/23/2017 01:30;-5.56;-11.08;154.46;1.06;860.89;15.88;15.59
02/23/2017 02:00;-5.82;-11.14;98.96;0.57;860.8;17.85;17.64
02/23/2017 02:30;-5.76;-10.92;91.36;0.66;860.68;21.61;21.49
02/23/2017 03:00;-5.41;-10.51;88.22;0.57;860.57;17.32;17.18
02/23/2017 03:30;-5.36;-10.48;103.1;0.32;860.46;18.49;17.77
02/23/2017 04:00;-4.92;-10.12;136;0.34;860.5;16.55;15.78
02/23/2017 04:30;-4.57;-9.77;82.15;0.29;860.74;22.11;21.03
02/23/2017 05:00;-4.35;-9.58;91.48;0.28;860.71;20.99;20.26
02/23/2017 05:30;-4.18;-9.55;81.63;0.7;860.91;18.54;17.65
02/23/2017 06:00;-3.6;-9.28;98.82;0.66;860.9;18.31;17.3
02/23/2017 06:30;-3.23;-9.21;75.43;0.41;861.15;26.38;25.23
02/23/2017 07:00;-2.91;-9.16;100.65;0.53;861.47;17.7;16.75
02/23/2017 07:30;-2.54;-9.49;134.22;0.45;861.73;18.47;17.37
02/23/2017 08:00;-2.01;-9.22;112.47;0.49;861.89;27.28;25.69
02/23/2017 08:30;0.1;-7.84;75.7;0.21;861.89;18.11;16.87
02/23/2017 09:00;1.06;-6.59;8.45;0.87;861.93;25.95;24.78
02/23/2017 09:30;1.65;-6.12;4.73;0.94;861.99;18.66;18
02/23/2017 10:00;2.08;-5.96;1.59;0.58;861.96;25.72;25.16
02/23/2017 11:30;3.82;-6.1;15.61;0.46;861.48;22.3;21.8
02/23/2017 13:00;3.37;-5.81;355.54;0.71;861.55;30.27;29.25
02/23/2017 14:00;4.61;-6.01;311.76;0.3;861.37;16.75;16.1
02/23/2017 15:00;4.85;-5.63;221.4;0.55;861.19;20.16;19.39
02/23/2017 16:00;4.71;-4.94;322.94;0.28;861.23;22.8;22.04
02/23/2017 17:00;4.83;-4.27;242.26;0.22;861.41;24.24;23.23
02/23/2017 18:00;4.04;-4.95;293.4;0.17;861.71;18;16.95
02/23/2017 19:00;3.24;-4.66;352.01;0.28;862.15;23.19;22.1
02/23/2017 20:00;2.55;-4.56;356.54;0.3;862.47;23.1;22.13
02/23/2017 21:00;2.1;-4.68;333.06;0.17;862.66;24.77;23.38
02/23/2017 22:00;1.82;-4.51;357.22;0.18;862.84;26.33;24.4
02/23/2017 23:00;0.95;-4.81;2.42;0.17;862.89;25.01;23.53
02/24/2017 00:00;0.32;-5.05;282.53;0.05;863.3;24.64;23.46
02/24/2017 01:00;0.2;-4.77;160.85;0.07;863.26;25.59;25.02
02/24/2017 02:00;-0.18;-5.26;153.12;0.06;863.1;21.31;20.4
02/24/2017 03:00;-0.9;-5.31;7.57;0.18;863.16;24.32;23.9
02/24/2017 04:00;-1.22;-5.34;122.22;0.05;863.12;21.73;21.59
02/24/2017 05:00;-1.47;-6.02;156.48;0.05;863.27;16.07;15.72
02/24/2017 06:00;-1.82;-6.15;168.84;0.06;863.74;17.44;17.32
02/24/2017 07:00;-1.73;-5.78;153.52;0.19;864.3;20.59;20.42
02/24/2017 08:00;-1.77;-5.95;89.92;0.19;864.74;20.73;20.63
02/24/2017 09:00;-0.43;-5.29;59.8;0.25;865.39;22.19;22
02/24/2017 10:00;2.21;-4.26;97.25;0.08;865.59;24.7;23.95
02/24/2017 11:00;3.45;-3.99;2.4;0.54;866.03;26.23;25
02/24/2017 12:00;4.67;-3.48;293.53;0.07;866.28;24.02;23.53
02/24/2017 13:00;5.93;-3.08;232.12;0.32;866.27;25.55;25.09
02/24/2017 14:00;7.05;-3.08;325.1;0.28;866.21;25.52;25.15
02/24/2017 15:00;7.53;-3.22;357.56;0.42;866.22;25.37;24.75
02/24/2017 16:00;7.42;-2.94;0.19;0.64;866.34;23.22;22.56
02/24/2017 17:00;6.88;-2.66;1.16;0.64;866.48;20.08;19.5
02/24/2017 18:00;5.94;-2.59;332.36;0.36;866.63;20.05;19.62
02/24/2017 19:00;5.26;-3.16;357.69;0.45;866.85;19.71;19.16
02/24/2017 20:00;4.65;-4.49;321.39;0.17;867.28;18.88;18
02/24/2017 21:00;4.33;-3.14;221.9;0.37;867.48;22.56;21.81
02/24/2017 22:00;3.72;-3.38;212.36;0.17;867.7;23.13;21.83
02/24/2017 23:00;2.9;-3.65;142.08;0.18;867.86;23.19;21.65
02/25/2017 00:00;2.16;-4.55;118.72;0.21;868.1;19.46;18.75
02/25/2017 01:00;1.57;-5.29;123.48;0.27;868.18;19.71;19.09
02/25/2017 02:00;1.17;-5.43;98.55;0.36;868.34;18.13;17.95
02/25/2017 03:00;0.56;-5.37;91.51;0.31;868.35;18.24;18.05
02/25/2017 04:00;0.28;-5.54;123.45;0.28;868;15.88;15.76
02/25/2017 05:00;-0.11;-5.75;118.51;0.33;867.85;14.84;14.76
02/25/2017 06:00;-0.64;-6.09;153.25;0.63;868.1;16.42;16.13
02/25/2017 07:00;-0.88;-6.38;154.49;0.65;868.42;16.75;16.51
02/25/2017 08:00;-0.4;-6.24;161.25;0.66;868.79;17.92;17.37
02/25/2017 09:00;0.68;-6.19;162.7;0.68;869.08;15.87;15.2
02/25/2017 10:00;3.16;-5.6;54.04;0.76;869.27;17.8;17.21
02/25/2017 11:00;5.35;-4.5;85.51;0.3;869.14;21.56;20.43
02/25/2017 12:00;6.59;-4.08;16.56;0.48;868.66;33.11;28.5
02/25/2017 13:00;7.54;-3.02;345.02;0.39;868;23.27;22.75
02/25/2017 14:00;8.74;-1.76;302.88;0.09;867.12;22.35;21.78
02/25/2017 15:00;8.68;-1.72;357.72;0.13;866.85;24.87;24.18
02/25/2017 16:00;8.34;-1.44;335.96;0.34;866.55;25.11;24.58
02/25/2017 17:00;7.76;-1.29;338.6;0.2;866.32;25.9;25.29
02/25/2017 18:00;6.77;-0.92;330.84;0.2;866.03;25.89;25.38
02/25/2017 19:00;5.93;-1.02;326.89;0.19;866.07;21.82;21.23
02/25/2017 20:00;5.36;-1.83;1.39;0.38;866.23;20.67;19.99
02/25/2017 21:00;4.51;-2.62;353.05;0.28;866.34;20.55;20.06
02/25/2017 22:00;4.12;-2.78;232.31;0.58;866.36;21.5;21.02
02/25/2017 23:00;3.62;-2.93;209.59;0.2;866.26;22.35;21.37
02/26/2017 00:00;3.11;-2.62;128.89;0.22;866.06;21.84;21.04
02/26/2017 01:00;2.33;-3.17;19;0.19;865.87;21.65;20.98
02/26/2017 02:00;1.79;-3.36;27.29;0.29;865.63;20.09;19.9
02/26/2017 03:00;1.32;-3.55;24.46;0.25;865.23;20.87;20.72
02/26/2017 04:00;1.1;-3.48;15.55;0.19;864.75;21.93;21.82
02/26/2017 05:00;0.84;-3.54;14.12;0.28;864.35;22.04;21.96
02/26/2017 06:00;0.62;-3.56;13.13;0.09;864.41;22.22;22.09
02/26/2017 07:00;0.08;-3.91;8.17;0.06;864.76;22.27;22.15
02/26/2017 08:00;0.53;-3.61;36.61;0.24;865.14;23.22;23.12
02/26/2017 09:00;1.91;-3.08;12.39;0.27;865.44;23.88;23.75
02/26/2017 10:00;3.34;-3.14;358.23;0.43;865.53;23.54;23.15
02/26/2017 11:00;4.62;-2.83;2.47;0.54;865.25;25.63;24.79
02/26/2017 12:00;5.97;-2.37;4.43;0.5;864.94;29.15;28.53
02/26/2017 13:00;7.29;-1.84;359.07;0.44;864.79;25.46;25.04
02/26/2017 14:00;7.95;-2.31;225.42;0.48;864.17;21.62;21.19
02/26/2017 15:00;8.53;-2.63;222.71;0.7;863.64;17.42;17
02/26/2017 16:00;8.92;-2.24;247.62;0.29;863.26;13.18;12.92
02/26/2017 17:00;8.3;-2.02;338.53;0.23;863.12;15.69;15.24
02/26/2017 18:00;7.32;-0.84;345.66;0.43;863.32;17.14;16.51
02/26/2017 19:00;6.78;-1.69;345.22;0.33;863.7;16.89;16.23
02/26/2017 20:00;6.08;-3.47;7.52;0.61;864.1;15.2;14.52
02/26/2017 21:00;5.72;-4.26;318.3;0.14;864.31;13.87;13.37
02/26/2017 22:00;5.33;-4.43;288.34;0.08;864.63;11.37;10.64
02/26/2017 23:00;4.43;-3.36;170.72;0.35;864.63;14.34;13.57
02/27/2017 00:00;3.37;-3.52;99.78;0.41;864.73;17.86;17.42
02/27/2017 01:00;2.72;-3.6;154.5;0.77;864.49;18.59;18.32
02/27/2017 02:00;2.13;-3.86;152.04;0.59;864.35;17.33;17.09
02/27/2017 03:00;1.6;-4.1;153.92;0.74;864.38;17.13;16.92
02/27/2017 04:00;1.13;-4.35;152.74;0.94;864.01;16.54;16.38
02/27/2017 05:00;0.85;-4.47;152.12;0.46;864.01;16.63;16.5
